,member_id,detail_trajectory,edit_hope_trajectory,edit_resume_trajectory,edit_scout_trajectory,else_trajectory,entry_trajectory,login_trajectory,mypage_consider_trajectory,mypage_index_trajectory,mypage_scout_trajectory,register_trajectory,search_city_trajectory,search_hello_trajectory,search_multi_trajectory,search_other_trajectory,search_pref_trajectory,search_user_trajectory,voice_compa_trajectory,detail_hit,edit_hope_hit,edit_resume_hit,edit_scout_hit,else_hit,entry_hit,login_hit,mypage_consider_hit,mypage_index_hit,mypage_scout_hit,register_hit,search_city_hit,search_hello_hit,search_multi_hit,search_other_hit,search_pref_hit,search_user_hit,voice_compa_hit,detail_stay,edit_hope_stay,edit_resume_stay,edit_scout_stay,else_stay,entry_stay,login_stay,mypage_consider_stay,mypage_index_stay,mypage_scout_stay,register_stay,search_city_stay,search_hello_stay,search_multi_stay,search_other_stay,search_pref_stay,search_user_stay,voice_compa_stay,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
0,2964912,11416.0,,,,,,,,,,909.0,,,242.0,,,7007.0,,7.0,,,,,,,,,,1.0,,,1.0,,,1.0,,1476.0,,,,,,,,,,81.0,,,6843.0,,,62.0,,detail,smartphone,26.0,14.0,41,gmail
1,2964916,23375.0,,,,,,,,,,599.0,,,,44508.0,,,,4.0,,,,,,,,,,1.0,,,,7.0,,,,201.0,,,,,,,,,,32.0,,,,5887.0,,,,search_hello,smartphone,41.0,146.0,19,softbank
2,2964923,51282.0,,,,187.0,4374.0,,357.0,,,301.0,,,,25617.0,,46579.0,,12.0,,,,1.0,3.0,,1.0,,,1.0,,,,6.0,,8.0,,24802.0,,,,27.0,427.0,,29.0,,,12.0,,,,51361.0,,1621.0,,search_hello,,29.0,1.0,24,ezweb
3,2964933,25161.0,,,,,,,,,,215.0,,,,9883.0,,27175.0,,8.0,,,,,,,,,,1.0,,,,1.0,,3.0,,654.0,,,,,,,,,,49.0,,,,1601.0,,344.0,,search_multi,smartphone,4.0,61.0,44,ezweb
4,2964944,11950.0,,,,,,,,,,,26051.0,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,289.0,,,,,,,,,,,2393.0,,,,,,,search_hello,smartphone,40.0,295.0,19,gmail
5,2964953,277603.0,,,,4579.0,8835.0,,,,,790.0,,,,241.0,,337.0,,49.0,,,,6.0,12.0,,,,,1.0,,,,2.0,,1.0,,3723.0,,,,627.0,1016.0,,,,,14.0,,,,1075.0,,76.0,,top,smartphone,11.0,14.0,19,icloud
6,2964959,22753.0,,,,,,,,,,,,,,9827.0,,9113.0,,3.0,,,,,,,,,,,,,,1.0,,1.0,,722.0,,,,,,,,,,,,,,1959.0,,455.0,,search_hello,smartphone,44.0,8.0,34,other
7,2964971,6412.0,,,,711.0,,,,,,1068.0,,,2209.0,,,,,1.0,,,,2.0,,,,,,3.0,,,2.0,,,,,43.0,,,,2707.0,,,,,,246.0,,,2077.0,,,,,search_hello,smartphone,22.0,367.0,19,icloud
8,2964973,,,,,,,,,446.0,,373.0,,,,10171.0,,,,,,,,,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,108.0,,126.0,,,,488.0,,,,search_multi,smartphone,27.0,7.0,20,other
9,2964974,137.0,,,,,1877.0,,,,,,,,393.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,51.0,,,,,2.0,,,,,,,,361.0,,,,,search_hello,smartphone,22.0,2.0,47,icloud
10,2964976,4152.0,,,,,,,,,,280.0,,,,3034.0,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,183.0,,,,,,,,,,49.0,,,,121.0,,,,detail,Mac OSX,9.0,327.0,36,gmail
11,2964979,6664.0,,,,,,,,0.0,,0.0,,,,,,,,4.0,,,,,,,,1.0,,1.0,,,,,,,,1758.0,,,,,,,,240.0,,2808.0,,,,,,,,search_other,smartphone,26.0,47.0,24,gmail
12,2964983,38927.0,193.0,,,4125.0,,,,2280.0,,,,,473.0,1712.0,,30483.0,,10.0,2.0,,,3.0,,,,2.0,,,,,1.0,1.0,,6.0,,2802.0,245.0,,,298.0,,,,69.0,,,,,305.0,24.0,,2066.0,,detail,smartphone,27.0,20.0,27,other
13,2964995,676.0,,,,,,,,,,600.0,,,393.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,196.0,,,,,,,,,,13.0,,,6396.0,,,,,search_other,,24.0,14.0,30,yahoo
14,2965008,19409.0,,,,1829.0,,,,,1717.0,2009.0,,,,7706.0,,73189.0,,5.0,,,,2.0,,,,,1.0,5.0,,,,1.0,,10.0,,434.0,,,,133.0,,,,,105.0,320.0,,,,446.0,,934.0,,detail_hello,smartphone,34.0,5.0,47,other
15,2965011,2513.0,,,,4126.0,,367.0,,,,658.0,,,,10577.0,,54122.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,2.0,,8.0,,184.0,,,,154.0,,15.0,,,,42.0,,,,162.0,,549.0,,jobshil_post,smartphone,13.0,226.0,49,ezweb
