member_id,page_type,hit,trajectory,stay
3001264,register,1,561,17
3000025,detail,1,2917,158
2999145,detail,35,114414,3105
2997020,detail,7,33490,851
2995020,detail,73,267874,9945
2991954,detail,16,61978,3529
2990992,detail,14,40947,846
2990849,search_other,1,44,1576
2989685,detail,1,9718,16
2988987,detail,19,94615,7199
2988710,edit_resume,1,2555,8
2986095,else,3,7400,30
2985822,search_user,1,0,153
2984738,detail,9,27378,1212
2984968,search_multi,6,30002,66268
2984891,mypage_index,1,2171,191
2982576,mypage_scout,9,12059,684
2982703,entry,3,3964,227
2982268,register,1,160,194
2979114,detail,6,4994,215
2979260,register,3,1316,55
2978675,mypage_scout,1,0,25
2977270,detail,8,15343,153
2976455,detail,3,4130,147
2975851,detail,2,8165,3
2975600,register,2,549,30
2974813,search_pref,1,87,21
2974394,detail,1,2064,58
2973804,mypage_index,4,1583,119
2971723,detail,12,46332,347
2972402,mypage_index,1,269,247
2971588,else,2,6792,28
2970912,detail,6,26768,52
2970689,register,1,34,11
2970142,else,14,51571,1541
2969295,search_multi,3,17796,1937
2968397,search_other,3,6741,519
2967585,login,1,236,61
2967082,detail,31,145622,5344
2965586,detail,26,150859,2262
2965941,mypage_index,3,2942,125
2965685,detail,2,2802,84
2965657,detail,4,21012,156
2965555,else,3,11310,3216
2965413,detail,6,15542,585
2965152,else,1,449,110
2984482,entry,11,19024,383
2967680,detail,4,8279,14889
3000475,search_user,1,1808,47
2999196,detail,11,53786,9296
2997914,edit_resume,4,16312,1442
2998081,search_other,4,22605,5765
2994356,search_other,1,9961,88
2992920,detail,13,40843,897
2992633,else,27,24717,3057
2992480,register,1,0,50
2991692,register,1,0,192
2990834,search_user,1,1458,139
2989964,detail,10,13083,625
2986013,detail,26,105501,4356
2984813,search_other,8,43218,4983
2984105,mypage_scout,4,2815,775
2982601,detail,1,224,194
2981898,register,2,557,29
2981796,detail,3,20614,260
2980014,else,10,5875,622
2979813,search_user,7,74403,255
2979524,search_user,2,7833,37
2979406,search_user,2,10826,112
2979313,else,4,1937,98
2978993,search_hello,1,0,101
2978723,search_other,2,8202,26
2977779,register,3,790,190
2977162,login,2,479,73
2976892,search_user,9,165382,399
2976578,entry,10,12056,285
2975278,edit_scout,1,262,1329
2975894,detail,5,17247,245
2975636,search_city,3,10759,114
2975446,detail,5,22758,331
2975312,search_user,5,11391,108
2969793,detail,8,47516,1592
2969762,search_user,3,10970,472
2967285,edit_resume,4,10058,69
2968252,register,2,748,5
2967323,register,1,633,3
2967277,register,1,0,24
2966691,register,1,294,23
2966444,search_user,1,10164,92
2965802,detail,7,28400,397
2965876,search_other,2,1971,25
2965682,detail,3,23933,473
2965502,mypage_index,8,4931,322
2967494,else,1,1465,24
3001168,search_multi,5,21633,8603
3000053,search_user,2,8108,89
2997455,mypage_index,4,3481,215
2994659,mypage_index,3,4649,239
2994474,register,1,856,10
2991887,register,1,316,732
2990138,mypage_index,1,896,115
2986041,search_user,6,25291,404
2985018,search_multi,1,6668,106
2984756,mypage_index,2,0,264
2996756,search_user,2,2595,483
2981592,search_other,1,235,46
2979811,register,1,926,51
2978103,search_other,5,7846,254
2977856,else,1,0,12
2977347,register,2,595,123
2977309,else,6,3595,198
2976975,search_other,6,8770,2116
2976534,search_user,1,1867,0
2974578,mypage_index,4,4655,123
2973979,search_user,7,58458,234
2973568,detail,15,25867,578
2972915,else,12,25409,339
2971671,search_city,1,1184,26
2971041,else,7,1379,2025
2970428,login,1,123,5
2969405,login,3,402,292
2969531,search_user,3,5851,133
2969336,search_user,9,51810,502
2975887,register,2,669,65
2969212,detail,2,4206,32
2968764,login,1,104,806
2968386,detail,7,72934,736
2968181,mypage_index,5,2350,187
2967403,search_other,2,10814,106
2965651,mypage_scout,7,8405,1376
2965798,search_other,5,12284,87
2965555,search_multi,4,23098,213
2965463,detail,18,31297,1017
2999079,search_user,1,12380,68
2998828,search_multi,6,25763,384281
2997360,entry,1,1238,34
2996312,search_multi,2,1026,301
2996302,search_user,1,849,45
2993922,login,1,0,90
2993939,register,1,122,75
2993712,mypage_index,4,3250,276
2985979,entry,4,1881,84
2984868,detail,11,45713,1651
2984350,mypage_index,4,3200,408
2983784,register,1,669,59
2981766,detail,11,43419,1272
2982308,detail,5,8843,308
2980756,entry,4,5906,155
2978782,search_user,1,9443,27
2978219,detail,3,29576,149
2977013,else,2,301,15
2975653,search_other,7,46005,367
2974898,search_other,2,16720,151
2973458,search_other,1,2394,6
2971162,search_multi,1,2556,590
2970428,search_user,1,358,11
2970416,entry,7,5854,173
2969411,edit_hope,2,214,33
2968329,mypage_index,1,424,89
2967547,mypage_scout,3,3044,53
2967511,search_other,1,9954,42
2967153,search_other,3,4875,42
2966328,search_user,2,1612,80
2966272,detail,8,33594,414
2965814,register,2,748,52
2965597,detail,2,4954,223
2970641,else,1,1207,14
2984232,search_multi,2,5012,9251
2973900,search_hello,8,10407,17714
2972493,detail,8,15508,13915
2969166,search_user,1,1887,18
2999902,else,100,107905,4998
2999250,detail,3,15812,78
2999011,entry,1,0,19
2998621,detail,8,30705,392
2997620,detail,9,28514,1528
2995308,mypage_scout,4,3198,120
2996126,mypage_index,2,1635,45
2994283,detail,64,434710,9863
2993249,search_other,1,889,3
2986880,mypage_index,15,15928,2175
2985979,else,16,11666,1889
2985652,detail,9,18297,388
2984494,search_multi,2,6048,80325
2984488,search_user,5,10243,456
2983649,search_city,1,10674,4
