member_id,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
2964944,search_hello,smartphone,40,295,19,gmail
2965379,search_hello,,11,40,43,other
2965426,detail,smartphone,11,14,19,ezweb
2965449,search_hello,smartphone,24,248,24,yahoo
2965514,search_hello,smartphone,14,290,43,gmail
2965671,search_hello,smartphone,14,30,25,softbank
2965777,search_hello,windows,15,242,33,gmail
2965819,detail,smartphone,4,343,19,icloud
2965880,search_hello,smartphone,40,181,17,gmail
2965954,jobshil_post,smartphone,1,369,19,ezweb
2966056,jobshil_post,smartphone,1,328,25,docomo
2966102,search_hello,,19,290,45,gmail
2966162,detail,,18,17,23,other
2966409,hello_hw,,8,217,27,docomo
2966422,detail,smartphone,12,14,23,docomo
2966542,search_hello,smartphone,46,346,49,gmail
2967153,jobshil_other,smartphone,1,12,27,gmail
2967202,search_hello,smartphone,26,14,23,docomo
2967433,hello,smartphone,1,367,47,softbank
2967561,search_hello,smartphone,47,223,26,icloud
2967572,search_hello,smartphone,9,14,20,ezweb
2967682,search_hello,smartphone,13,339,17,docomo
2967808,search_hello,smartphone,47,14,26,other
2967851,search_other,,3,14,23,icloud
2967977,search_hello,,13,17,52,docomo
2968079,detail,,34,367,51,softbank
2968108,jobshil_post,smartphone,23,3,18,gmail
2968133,detail_hello,smartphone,14,226,24,icloud
2968245,search_hello,,13,339,22,other
2968287,detail_hello,smartphone,35,343,31,icloud
2968378,search_hello,smartphone,22,366,22,icloud
2968675,search_hello,,13,31,23,docomo
2968793,search_hello,smartphone,13,191,19,gmail
2968799,detail,smartphone,11,14,20,other
2969484,search_hello,,13,224,37,softbank
2969642,search_hello,smartphone,38,2,19,gmail
2969812,detail,smartphone,43,153,22,gmail
2970021,search_hello,smartphone,8,14,45,gmail
2970068,jobshil_post,smartphone,21,14,27,other
2970302,search_hello,smartphone,13,28,28,softbank
2970375,search_hello,smartphone,3,21,49,gmail
2970958,search_hello,,34,15,24,gmail
2971032,search_hello,smartphone,14,346,50,icloud
2971545,search_hello,smartphone,37,12,22,gmail
2971598,search_hello,smartphone,13,14,26,yahoo
2971694,detail,smartphone,1,18,38,gmail
2971719,detail,smartphone,15,82,22,other
2971784,search_hello,smartphone,40,14,24,other
2972139,detail,smartphone,11,14,23,icloud
2972173,detail,windows,5,18,27,yahoo
2972214,detail,smartphone,9,367,19,other
2972869,detail,smartphone,12,95,19,icloud
2973094,search_hello,,26,343,42,ezweb
2973479,detail,smartphone,13,142,20,icloud
2974099,search_hello,smartphone,12,283,27,softbank
2974150,search_other,smartphone,1,27,29,gmail
2974157,search_hello,smartphone,40,2,24,gmail
2974208,search_hello,windows,22,2,33,yahoo
2974440,detail,windows,13,218,46,gmail
2974989,search_hello,smartphone,1,14,25,docomo
2975064,search_other,,24,372,33,gmail
2975171,search_hello,smartphone,17,96,42,gmail
2975225,search_hello,smartphone,13,1,25,yahoo
2975237,search_hello,,15,221,18,docomo
2975364,search_hello,,24,40,45,docomo
2975432,jobshil_post,,40,342,36,ezweb
2975453,detail,smartphone,13,82,21,softbank
2975635,detail,windows,7,2,28,yahoo
2975651,search_hello,smartphone,28,226,51,other
2975711,search_hello,smartphone,24,15,29,ezweb
2975773,search_hello,smartphone,13,110,26,ezweb
2975810,detail,smartphone,8,41,41,gmail
2976224,jobshil_post,smartphone,10,48,26,docomo
2976275,top,,43,49,20,softbank
2976734,detail,,40,219,19,gmail
2977130,jobshil_post,smartphone,26,382,20,gmail
2977359,search_hello,smartphone,13,323,36,gmail
2977448,login,,1,156,31,yahoo
2977655,search_hello,smartphone,21,35,24,other
2977696,search_hello,smartphone,4,14,21,icloud
2977772,detail,smartphone,11,14,39,gmail
2978059,detail,Mac OSX,36,35,42,docomo
2978085,login,smartphone,47,40,19,icloud
2978767,search_hello,smartphone,11,14,26,ezweb
2978814,search_other,smartphone,36,33,21,icloud
2978833,search_hello,smartphone,28,1,29,ezweb
2979209,search_hello,,23,236,49,ezweb
2979337,search_hello,smartphone,27,29,24,gmail
2979570,search_hello,smartphone,17,14,24,gmail
2979764,search_hello,smartphone,10,343,53,docomo
2980026,search_hello,smartphone,7,112,33,other
2980142,search_hello,windows,13,214,48,other
2980521,jobshil_post,smartphone,15,12,25,gmail
2980661,detail,,9,14,20,icloud
2980723,search_hello,smartphone,,,49,gmail
2981345,detail,smartphone,47,338,33,softbank
2981482,search_hello,,12,15,26,ezweb
2981585,search_hello,windows,13,31,41,other
2982679,login,smartphone,6,82,20,icloud
2982923,search_hello,smartphone,16,367,36,docomo
2983195,search_hello,,8,226,36,gmail
2983216,search_hello,windows,12,14,24,gmail
2983496,search_hello,smartphone,4,21,24,gmail
2983801,search_hello,smartphone,28,46,31,icloud
2984846,search_hello,,1,40,21,icloud
2984936,search_hello,smartphone,21,289,23,gmail
2984997,detail,smartphone,44,8,21,other
2985020,jobshil_post,smartphone,19,367,24,other
2985039,search_hello,smartphone,14,1,24,other
2986806,detail_hello,windows,1,32,19,gmail
2986991,search_hello,smartphone,13,1,32,gmail
2987187,search_hello,smartphone,8,14,19,ezweb
2987195,detail,smartphone,16,174,31,gmail
2987929,detail,smartphone,23,14,31,softbank
2988184,detail_hello,smartphone,40,14,25,icloud
2988320,jobshil_post,smartphone,8,99,20,softbank
2989310,jobshil_post,smartphone,41,1,20,gmail
2989486,detail,,14,343,24,docomo
2989862,search_company,,47,278,22,yahoo
2990395,detail,smartphone,8,14,19,icloud
2990724,detail,smartphone,7,35,19,gmail
2991508,search_hello,,27,8,22,gmail
2991590,detail,iPad,17,328,31,gmail
2992338,detail,smartphone,15,367,21,icloud
2992868,search_hello,smartphone,3,350,23,icloud
2992921,search_multi,smartphone,14,329,41,docomo
2993463,search_hello,smartphone,12,226,24,softbank
2994438,search_hello,windows,13,154,23,gmail
2994557,search_other,smartphone,33,366,23,gmail
2995122,jobshil_post,smartphone,47,112,22,gmail
2995447,search_other,smartphone,14,152,32,gmail
2995478,search_hello,,11,1,32,gmail
2996414,search_hello,smartphone,47,112,53,ezweb
2996579,jobshil_post,iPad,38,30,29,gmail
2996749,detail,smartphone,9,20,24,ezweb
2996828,detail,,13,152,25,icloud
2996989,detail,smartphone,3,343,25,yahoo
2997523,detail,smartphone,40,357,23,other
2997702,jobshil_post,smartphone,29,338,25,other
2998601,detail,,23,48,46,other
2998796,search_hello,smartphone,8,373,55,gmail
3000067,search_hello,smartphone,26,14,23,gmail
3000225,jobshil_post,smartphone,10,14,25,other
3000475,jobshil_post,smartphone,3,366,22,softbank
3001156,detail,smartphone,1,13,42,softbank
3001158,hello_hw,,14,14,28,gmail
2965099,search_hello,smartphone,47,335,27,ezweb
2965152,detail,,14,1,24,icloud
2965226,jobshil_post,smartphone,12,142,23,other
2965293,search_hello,smartphone,9,14,26,ezweb
2965324,search_hello,,10,152,20,gmail
2965751,detail,,2,146,20,docomo
2965770,search_hello,smartphone,25,225,29,gmail
2965943,search_hello,smartphone,15,40,25,softbank
2966185,search_hello,,14,8,40,gmail
2966791,jobshil_post,smartphone,43,14,22,ezweb
2967159,hello,smartphone,28,343,22,ezweb
2967163,search_hello,,8,382,45,docomo
2967469,detail,smartphone,46,326,20,gmail
2967593,jobshil_post,smartphone,15,14,20,docomo
2967784,search_hello,,21,14,17,icloud
2968237,search_hello,smartphone,27,382,44,docomo
2968294,search_hello,smartphone,1,241,33,ezweb
2968381,search_hello,smartphone,28,224,34,gmail
2968523,jobshil_post,smartphone,10,1,32,softbank
2968562,detail,smartphone,44,14,21,icloud
2968565,detail,smartphone,11,225,49,yahoo
2968585,detail,smartphone,12,21,52,other
2968592,detail,smartphone,9,14,41,other
2968890,search_other,,14,40,26,ezweb
2969210,search_other,smartphone,12,155,24,other
2969540,detail,,43,95,24,gmail
2969785,search_hello,,14,95,48,other
2969945,search_hello,,34,14,23,other
2970233,search_hello,smartphone,28,18,19,icloud
2970271,search_hello,smartphone,8,173,21,icloud
2970636,search_hello,smartphone,12,2,24,yahoo
2970902,detail,smartphone,14,151,40,docomo
2971141,search_hello,smartphone,13,4,27,ezweb
2971357,search_hello,smartphone,11,40,40,icloud
2971589,search_other,smartphone,4,15,22,other
2971853,search_hello,smartphone,12,5,28,ezweb
2971941,search_hello,smartphone,12,346,19,other
2972227,detail,,26,231,24,other
2972324,search_hello,smartphone,10,226,36,softbank
2972435,search_hello,AndroidTablet,38,368,47,yahoo
2972465,detail,windows,14,14,40,gmail
2972470,detail,,8,46,22,icloud
2972611,search_hello,smartphone,22,367,30,yahoo
2972700,search_hello,smartphone,14,1,47,other
2972880,detail,smartphone,27,367,52,other
2973239,search_hello,smartphone,13,40,24,icloud
2973462,jobshil_post,smartphone,27,338,24,icloud
2973646,search_hello,smartphone,28,14,54,gmail
2973800,search_hello,smartphone,8,14,43,gmail
2974170,jobshil_post,smartphone,4,3,24,other
2974175,search_hello,smartphone,46,13,30,ezweb
2974409,search_hello,smartphone,44,35,24,softbank
2974563,jobshil_other,smartphone,23,14,22,softbank
2974882,search_hello,windows,12,223,23,other
2975090,search_hello,,43,382,21,ezweb
2975116,search_hello,,11,14,22,ezweb
2975190,detail,windows,8,5,26,gmail
2975447,detail_hello,smartphone,42,46,23,ezweb
2975579,detail,smartphone,14,15,19,other
2975636,search_hello,smartphone,28,14,22,gmail
2976134,search_hello,,11,174,24,gmail
2976334,search_hello,windows,29,14,29,yahoo
2976467,search_city,smartphone,1,1,37,ezweb
2976723,search_hello,smartphone,25,5,41,gmail
2976843,detail,windows,21,328,43,gmail
2976863,search_hello,smartphone,1,7,39,softbank
2977155,jobshil_post,,47,345,23,gmail
2977491,jobshil_post,smartphone,13,5,25,other
2977689,jobshil_other,smartphone,11,49,26,other
2977719,search_hello,windows,13,1,42,docomo
2977787,search_other,smartphone,23,299,24,docomo
2977932,search_hello,smartphone,23,220,17,icloud
2977943,detail,smartphone,15,14,29,gmail
2978274,search_hello,smartphone,1,5,29,softbank
2978402,detail,smartphone,23,227,25,icloud
2979039,search_hello,smartphone,13,5,28,yahoo
2979121,search_hello,smartphone,40,152,21,softbank
2979170,search_hello,smartphone,12,296,47,gmail
2979335,detail,Mac OSX,14,226,47,gmail
2979809,search_hello,smartphone,11,40,28,gmail
2979924,search_hello,,19,330,45,docomo
2979960,search_hello,smartphone,27,15,21,yahoo
2980141,search_hello,,11,142,20,gmail
2980241,search_hello,smartphone,4,35,48,ezweb
2980287,search_hello,smartphone,26,204,24,other
2980444,detail,smartphone,13,14,55,docomo
2981223,search_hello,smartphone,13,14,34,softbank
2981397,search_hello,smartphone,20,99,48,docomo
2981566,detail,smartphone,45,40,20,other
2981933,search_hello,,14,366,49,yahoo
2982075,search_hello,,34,8,23,gmail
2982116,jobshil_post,smartphone,8,343,24,icloud
2983242,detail_hello,smartphone,30,12,25,softbank
2983418,search_hello,smartphone,47,48,21,icloud
2983429,search_other,smartphone,17,228,25,icloud
2983476,search_multi,windows,13,29,29,gmail
2983502,search_hello,,9,14,25,docomo
2984405,search_hello,smartphone,40,14,43,other
2986203,search_multi,smartphone,25,142,46,docomo
2986394,detail,windows,22,271,49,gmail
2986636,jobshil_post,,12,99,30,other
2986886,jobshil_post,smartphone,22,367,23,icloud
2986983,,,14,32,23,other
2987325,search_hello,Mac OSX,13,334,23,icloud
2988500,jobshil_post,,13,299,55,gmail
2988513,search_hello,smartphone,27,217,50,icloud
2988664,search_hello,smartphone,20,15,24,icloud
2990107,search_hello,smartphone,22,96,21,docomo
2990896,detail,smartphone,22,297,22,other
2991195,search_city,smartphone,14,342,33,other
2991542,search_hello,smartphone,12,14,22,yahoo
2992050,jobshil_post,,14,139,51,ezweb
