member_id,entry_flg,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
2071706,0,,smartphone,14,14,19,icloud
2107650,0,search_hello,smartphone,3,187,27,docomo
2108325,0,search_hello,smartphone,20,343,19,icloud
2124556,0,other,smartphone,23,9,38,icloud
2165727,0,detail_hello,smartphone,47,48,32,softbank
2170384,0,detail_hello,,27,14,22,ezweb
2196686,0,detail,,14,289,44,docomo
2226588,0,search_multi,,38,14,30,ezweb
2261509,0,detail_hello,windows,21,156,29,yahoo
2262719,0,search_hello,smartphone,6,247,27,softbank
2291060,0,voice_compa,,28,41,24,icloud
2297240,0,search_hello,smartphone,41,229,18,docomo
2306934,0,,smartphone,9,291,21,gmail
2314262,1,search_hello,smartphone,19,4,32,other
2328325,1,search_other,smartphone,12,14,20,ezweb
2336912,1,search_hello,,27,5,48,gmail
2348667,0,search_hello,smartphone,34,185,32,gmail
2349855,1,search_hello,smartphone,43,2,39,gmail
2350166,0,search_hello,,14,47,38,gmail
2358724,0,search_hello,smartphone,10,14,23,other
2368469,0,search_custom,smartphone,40,270,21,icloud
2369467,0,search_stati,smartphone,37,223,30,other
2380320,0,search_city,windows,14,339,46,other
2382442,0,search_hello,smartphone,13,14,19,gmail
2387997,0,search_other,smartphone,16,367,24,gmail
2388933,0,search_hello,smartphone,9,343,36,docomo
2391293,0,search_hello,smartphone,13,213,29,ezweb
2397775,0,lp,smartphone,23,48,21,gmail
2404597,0,search_hello,smartphone,14,14,53,other
2413375,0,detail,,13,14,28,gmail
2415501,0,search_hello,,47,3,18,yahoo
2420525,0,detail,smartphone,27,5,31,gmail
2435630,0,detail_haken,,23,20,23,docomo
2440509,1,detail,smartphone,14,27,27,ezweb
2443696,0,search_hello,smartphone,10,35,18,other
2445394,0,search_hello,smartphone,40,1,34,gmail
2445977,0,search_hello,smartphone,27,14,42,gmail
2446536,0,search_hello,smartphone,23,40,42,other
2447674,0,search_custom,smartphone,28,16,28,other
2447746,0,search_custom,smartphone,46,221,25,docomo
2460773,0,search_hello,smartphone,11,14,42,other
2466673,1,search_hello,windows,12,239,41,other
2484186,0,jobshil_post,smartphone,8,21,25,ezweb
2485710,0,detail,smartphone,26,227,16,ezweb
2488566,0,jobshil_post,smartphone,11,153,20,ezweb
2488994,0,search_hello,,47,14,36,other
2500856,0,search_hello,smartphone,17,223,30,yahoo
2525417,0,detail,smartphone,12,229,16,icloud
2535400,0,detail_hello,smartphone,23,14,44,other
2538409,0,search_hello,,28,218,21,softbank
2539914,0,search_other,smartphone,45,191,23,gmail
2558178,0,search_hello,smartphone,31,41,44,other
2559188,0,search_hello,smartphone,23,40,16,other
2562756,0,search_hello,smartphone,10,224,23,other
2580061,0,search_hello,,27,275,20,other
2591777,1,search_hello,smartphone,14,153,21,gmail
2597902,0,detail_hello,ChromeOS,26,14,23,icloud
2603185,0,search_city,windows,1,48,20,yahoo
2621290,0,hello_hw,smartphone,5,297,44,docomo
2633669,0,search_hello,smartphone,31,382,33,other
2638114,0,search_hello,smartphone,28,319,44,other
2638543,0,,smartphone,12,382,50,other
2652288,0,search_hello,smartphone,27,346,41,gmail
2663678,1,search_hello,,30,324,42,other
2667770,0,search_hello,,7,40,25,gmail
2674009,1,search_hello,smartphone,1,14,26,gmail
2684325,0,search_hello,smartphone,27,189,28,yahoo
2684988,0,search_hello,,4,367,48,ezweb
2702175,0,detail_hello,,14,14,23,gmail
2710967,0,search_hello,,27,226,24,ezweb
2735163,0,search_hello,smartphone,14,14,20,softbank
2738600,0,search_hello,,30,14,19,icloud
2741718,0,search_hello,,10,14,19,icloud
2746303,0,search_custom,smartphone,23,226,41,other
2784787,1,search_hello,,14,95,21,icloud
2787898,0,search_company,smartphone,13,26,22,other
2794742,0,search_hello,,13,14,45,gmail
2816044,0,search_hello,,8,158,36,other
2820089,0,detail,smartphone,46,2,19,ezweb
2845830,0,detail,smartphone,13,139,33,other
2878518,1,search_multi,smartphone,26,50,34,docomo
2910749,0,detail,smartphone,13,14,48,icloud
2947194,0,search_hello,,24,227,27,docomo
2951791,0,search_hello,smartphone,13,46,25,docomo
2953436,0,search_pref,smartphone,23,40,48,other
2092790,0,search_other,smartphone,13,226,43,docomo
2157222,0,lp,smartphone,27,170,30,gmail
2166624,0,detail,smartphone,38,9,24,ezweb
2172024,0,search_hello,windows,11,307,32,yahoo
2176626,0,search_hello,smartphone,27,1,24,ezweb
2178022,0,search_hello,smartphone,14,343,28,softbank
2179335,0,search_hello,windows,12,1,27,gmail
2188541,0,search_hello,smartphone,20,35,48,ezweb
2189498,0,search_custom,smartphone,13,159,27,gmail
2192014,0,search_hello,,24,367,42,gmail
2211030,1,search_hello,windows,37,9,42,gmail
2216998,0,detail,windows,13,170,24,gmail
2235774,0,detail,smartphone,24,366,31,docomo
2240507,0,search_hello,,18,226,36,softbank
2242595,0,detail,windows,7,226,47,ezweb
2252352,0,register,smartphone,12,21,25,other
2253807,0,search_other,smartphone,12,367,36,docomo
2295636,0,jobshil_post,smartphone,13,12,24,gmail
2329197,0,detail_hello,smartphone,47,14,21,ezweb
2330139,0,lp,,40,2,30,softbank
2344687,0,search_hello,,8,3,26,ezweb
2347042,1,detail_hello,smartphone,14,2,23,gmail
2349418,0,detail_hello,,38,339,28,icloud
2352761,0,search_multi,windows,2,159,37,yahoo
2389438,0,search_hello,smartphone,12,343,22,other
2389813,0,,smartphone,31,14,32,gmail
2391047,1,search_hello,smartphone,21,14,23,other
2077912,1,search_other,,45,50,43,ezweb
2122757,1,search_hello,smartphone,28,1,26,softbank
2136043,0,detail_hello,windows,1,1,20,softbank
2147591,1,search_hello,windows,37,219,25,yahoo
2158596,0,search_hello,windows,21,31,41,gmail
2168274,0,detail,smartphone,6,224,41,yahoo
2191875,0,search_hello,smartphone,11,226,49,softbank
2204300,0,search_hello,,37,343,35,yahoo
2209332,0,hello,smartphone,33,2,25,icloud
2217602,0,,smartphone,15,198,24,yahoo
2244296,0,search_hello,smartphone,34,338,30,gmail
2285169,1,search_hello,smartphone,4,2,25,gmail
2285503,1,search_hello,smartphone,36,158,28,gmail
2291331,0,search_hello,,28,191,35,gmail
2292673,0,detail_hello,smartphone,23,29,23,other
2309074,0,search_hello,smartphone,33,337,43,docomo
2327828,1,hello,smartphone,13,14,47,ezweb
2335944,0,search_multi,smartphone,13,5,20,ezweb
2339951,0,search_hello,smartphone,40,14,38,other
2341446,0,hello,smartphone,1,329,25,gmail
2346084,0,jobshil_post,smartphone,14,14,33,gmail
2347173,0,,smartphone,8,367,26,other
2353073,0,search_other,smartphone,14,195,35,icloud
2359641,0,search_hello,,13,14,23,gmail
2360482,0,search_hello,,13,222,61,gmail
2366377,0,search_hello,windows,13,14,18,softbank
2369478,0,search_hello,smartphone,11,369,23,ezweb
2370025,0,search_other,,19,330,46,ezweb
2377889,0,search_hello,smartphone,13,343,47,gmail
2382233,0,search_hello,,30,14,25,ezweb
2383519,1,detail,smartphone,10,338,50,gmail
2401039,0,hello_hw,smartphone,27,47,34,docomo
2402019,0,detail,smartphone,27,372,24,other
2416430,0,detail,smartphone,33,223,25,gmail
2423078,0,search_hello,smartphone,22,14,39,other
